"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0003836","Michael Powell",188,"1905-09-30","Comedy",8.1,17693,8
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0003836","Michael Powell",188,"1905-09-30","Drama",8.1,17693,8
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0003836","Michael Powell",188,"1905-09-30","Fantasy",8.1,17693,8
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0696247","Emeric Pressburger",97,"1902-12-05","Comedy",8.1,17693,8
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0696247","Emeric Pressburger",97,"1902-12-05","Drama",8.1,17693,8
"tt0038733","A Matter of Life and Death",2017,4,12,6,"2017-12-08",104,"UK","$ 124241","English, French, Russian","The Archers","Friday","weekday","December","Standard","nm0696247","Emeric Pressburger",97,"1902-12-05","Fantasy",8.1,17693,8
"tt0060908","Le roi de coeur",2018,2,6,6,"2018-06-08",102,"France, Italy","$ 18130","French, English, German","Fildebroc","Friday","weekday","June","Standard","nm0003606","Philippe de Broca",0,"1933-03-15","Comedy",7.5,3392,8
"tt0060908","Le roi de coeur",2018,2,6,6,"2018-06-08",102,"France, Italy","$ 18130","French, English, German","Fildebroc","Friday","weekday","June","Standard","nm0003606","Philippe de Broca",0,"1933-03-15","Drama",7.5,3392,8
"tt0069049","The Other Side of the Wind",2018,4,11,6,"2018-11-02",122,"France, Iran, USA","","English, German","Royal Road Entertainment","Friday","weekday","November","Long","nm0000080","Orson Welles",183,"1915-05-06","Drama",6.9,5014,7
"tt0082620","Kiss Daddy Goodbye",2018,4,11,6,"2018-11-23",92,"USA","","English","Pendragon Film","Friday","weekday","November","Standard","nm0716460","Patrick Regan",0,"","Horror",3.6,236,3
"tt0083907","The Evil Dead",2018,4,10,4,"2018-10-31",85,"USA","$ 2893091","English","Renaissance Pictures","Wednesday","weekday","October","Short ","nm0000600","Sam Raimi",180,"1959-10-23","Horror",7.5,174505,8
"tt0085953","Mo tai",2019,4,10,3,"2019-10-22",84,"Hong Kong","","Cantonese","Lo Wei Motion Picture Company","Tuesday","weekday","October","Short ","nm0490551","Hung-Chuen Lau",0,"","Horror",6.2,262,6
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0749914","Raoul Ruiz",0,"1941-07-25","Comedy",6.6,121,7
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0749914","Raoul Ruiz",0,"1941-07-25","Drama",6.6,121,7
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0749914","Raoul Ruiz",0,"1941-07-25","Fantasy",6.6,121,7
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0765384","Valeria Sarmiento",0,"1948-10-29","Comedy",6.6,121,7
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0765384","Valeria Sarmiento",0,"1948-10-29","Drama",6.6,121,7
"tt0100275","La Telenovela Errante",2018,3,9,5,"2018-09-06",80,"Chile","$ 3624","Spanish","Poetastros","Thursday","weekday","September","Short ","nm0765384","Valeria Sarmiento",0,"1948-10-29","Fantasy",6.6,121,7
"tt0147855","Aashirwad",2019,1,3,7,"2019-03-09",146,"India","","Hindi","Film Enterprises","Saturday","weekend","March","Long","nm0611531","Hrishikesh Mukherjee",0,"1922-09-30","Drama",7.3,171,8
"tt0192669","Teenage Space Vampires",2018,4,11,5,"2018-11-15",90,"Romania, Canada, USA","","English","Canarom Productions","Thursday","weekday","November","Standard","nm0939869","Martin Wood",0,"","Action",2.6,449,2
"tt0192669","Teenage Space Vampires",2018,4,11,5,"2018-11-15",90,"Romania, Canada, USA","","English","Canarom Productions","Thursday","weekday","November","Standard","nm0939869","Martin Wood",0,"","Sci-Fi",2.6,449,2
"tt0235166","Against All Hope",2017,4,10,6,"2017-10-20",90,"USA","","English","","Friday","weekday","October","Standard","nm0003761","Edward T. McDougal",0,"","Drama",3.6,145,4
"tt0339091","Gang of Roses",2019,3,9,6,"2019-09-20",94,"USA","$ 30497","English","Sleeping Giant Productions","Friday","weekday","September","Standard","nm0478713","Jean-Claude La Marre",0,"","Action",2.4,943,2
"tt0339091","Gang of Roses",2019,3,9,6,"2019-09-20",94,"USA","$ 30497","English","Sleeping Giant Productions","Friday","weekday","September","Standard","nm0478713","Jean-Claude La Marre",0,"","Drama",2.4,943,2
"tt0339736","The Evil Within",2017,3,8,4,"2017-08-30",98,"USA","","English","Supernova LLC","Wednesday","weekday","August","Standard","nm1274189","Andrew Getty",0,"1967-07-01","Horror",5.5,2577,6
"tt0347307","Kaminnyy khrest",2018,4,10,3,"2018-10-30",80,"Soviet Union","","Ukrainian","Dovzhenko Film Studios","Tuesday","weekday","October","Short ","nm0652673","Leonid Osyka",0,"1940-03-08","Drama",7.3,129,8
"tt0360556","Fahrenheit 451",2018,2,5,1,"2018-05-20",100,"USA","","English","HBO Films","Sunday","weekend","May","Standard","nm1023919","Ramin Bahrani",84,"1975-03-20","Drama",4.9,15320,5
"tt0360556","Fahrenheit 451",2018,2,5,1,"2018-05-20",100,"USA","","English","HBO Films","Sunday","weekend","May","Standard","nm1023919","Ramin Bahrani",84,"1975-03-20","Sci-Fi",4.9,15320,5
